cutoff,nsubtrees,mutual.inf,normalized
0.08,22,1.30116214861298,0.96757290658563
0.09,18,1.30112263863032,0.973587673250647
0.1,15,1.3010703514992,0.984833643375749
0.11,14,1.30101369321014,0.990973333747106
0.12,14,1.30101369321014,0.990973333747106
0.13,14,1.30101369321014,0.990973333747106
0.14,14,1.30101369321014,0.990973333747106
0.15,13,1.30101369321014,0.991344972952484
0.2,13,1.30101369321014,0.991344972952484
0.21,13,1.30101369321014,0.991344972952484
0.215,13,1.30101369321014,0.991344972952484
0.22,13,1.30101369321014,0.991344972952484
0.222,12,1.30101112266291,0.994592412034438
0.225,12,1.30101112266291,0.994592412034438
0.25,12,1.30101112266291,0.994592412034438
0.3,12,1.30101112266291,0.994592412034438
0.4,12,1.30101112266291,0.994592412034438
0.405,11,1.2781695352735,0.985819216137575
0.41,11,1.2781695352735,0.985819216137575
0.425,11,1.2781695352735,0.985819216137575
0.43,10,1.27816951144084,0.985979255697538
0.4325,3,0.00110152142665,0.001683074434107
0.435,3,0.00110152142665,0.001683074434107
0.44,3,0.00110152142665,0.001683074434107
0.45,3,0.00110152142665,0.001683074434107
